number	crop	year	sowingdoy	emergencedoy	maturitydoy	reldem
0	winter wheat	1991	277	289	207	11
1	winter wheat	1992	283	299	222	15
2	winter wheat	1993	285	302	212	16
3	winter wheat	1994	284	301	215	16
4	winter wheat	1995	285	297	234	11
5	winter wheat	1996	284	299	220	14
6	winter wheat	1997	283	297	215	13
7	winter wheat	1998	281	295	212	13
8	winter wheat	1999	276	295	216	18
9	winter wheat	2000	275	300	219	24
10	winter wheat	2001	283	295	218	11
11	winter wheat	2002	280	293	209	12
12	winter wheat	2003	272	285	221	12
13	winter wheat	2004	367	367	367	0